time_seconds,speed_meters_per_second,heading_degrees
0.0,24.777462,265.99978000000004
1.0,24.918821,265.9997425
2.0,25.048565,265.99972
3.0,25.45579,266.19954600000005
4.0,25.657349,266.39939000000004
5.0,25.857683,266.79899000000006
6.0,26.580423,267.1990400000001
7.0,27.182102,267.59909000000005
8.0,26.942404,267.5995300000001
9.0,27.107994,267.40030600000006
10.0,26.842573,267.0006920000001
11.0,26.850256,266.60066200000006
12.0,26.908081,266.20065000000005
13.0,27.15789,266.0004
14.0,27.298656,265.9998140000001
15.0,27.32974,265.9998800000001
16.0,27.438515,265.9999460000001
17.0,27.400434,265.99999400000013
18.0,27.36037,266.00001800000007
19.0,27.399536,266.0000360000001
20.0,27.241564,266.0000120000001
21.0,27.34895,265.99998800000003
22.0,27.290497,265.999964
23.0,27.33954,265.999982
24.0,27.587297,265.99997599999995
25.0,27.550306,266.000008
26.0,27.411448,265.999996
27.0,27.489178,265.998708
28.0,27.420767,265.9974020000001
29.0,27.282846,265.99740800000006
30.0,27.141636,265.9974880000001
31.0,27.100544,265.99761200000006
32.0,26.783504,265.99900400000007
33.0,26.443699,266.00032400000003
34.0,26.617662,266.000398
35.0,26.2536,266.00031800000005
36.0,26.190714,266.0002380000001
37.0,25.954021,266.0001660000001
38.0,25.900524,265.9997860000001
39.0,26.931276,265.99914000000007
40.0,26.128757,265.9985600000001
41.0,25.688374,265.9986140000001
42.0,25.965458,266.1984540000001
43.0,25.69259,266.3988340000001
44.0,25.481945,266.5994620000001
45.0,25.13321,266.9998080000001
46.0,25.060871,267.39952000000005
47.0,25.198513,267.40195400000005
48.0,25.418165,267.20231800000005
49.0,25.674408,266.80241000000007
50.0,26.026651,266.20278400000007
51.0,26.27736,265.8028340000001
52.0,26.299772,265.60045400000007
53.0,26.309639,265.7987940000001
54.0,26.595547,266.19850600000007
55.0,26.974085,266.60178600000006
56.0,27.493147,267.0001620000001
57.0,27.776714,267.2036880000001
58.0,27.59904,267.2052640000001
59.0,28.107553,267.2056920000001
60.0,28.23888,267.2026360000001
61.0,28.398191,267.2033740000001
62.0,28.429216,267.3996780000001
63.0,28.331202,267.59937200000013
64.0,28.24081,267.7990780000001
65.0,28.082134,267.99868800000013
66.0,28.13921,267.9997260000001
67.0,28.100447,267.8003120000001
68.0,28.199133,267.60064800000004
69.0,28.249632,267.5996100000001
70.0,28.457985,267.59960400000006
71.0,28.312092,267.59960400000006
72.0,28.428925,267.7992540000001
73.0,28.320972,267.9989000000001
74.0,28.725456,267.9999120000001
75.0,28.877907,267.99990000000014
76.0,29.046988,267.99989200000016
77.0,29.207352,267.99989200000016
78.0,29.417904,267.99989600000015
79.0,29.567764,267.99990400000013
80.0,29.658659,267.99992800000007
81.0,29.808079,267.9999480000001
82.0,29.780218,267.9999880000001
83.0,29.601547,267.9999840000001
84.0,29.758165,267.99978800000014
85.0,29.542034,267.99958000000015
86.0,29.510519,267.99958600000014
87.0,29.480036,267.99957800000016
88.0,29.370985,267.99960800000014
89.0,29.340305,267.99965600000013
90.0,29.210888,267.9997040000001
91.0,29.170807,267.99953800000014
92.0,28.882814,267.7997760000001
93.0,28.929583,267.59977000000015
94.0,28.771963,267.39993000000015
95.0,28.770018,267.39987000000013
96.0,28.887964,267.4000100000002
97.0,28.889952,267.59976600000016
98.0,28.870314,267.79977200000013
99.0,29.028297,267.99980200000016
100.0,28.8022,268.00003400000014
101.0,28.750666,268.00008400000013
102.0,28.443829,268.00010200000014
103.0,28.3807,268.00012000000015
104.0,28.162386,267.99989400000015
105.0,27.95187,267.9996860000001
106.0,27.88098,267.9994600000001
107.0,27.85999,267.9992560000001
108.0,27.850084,267.7995320000001
109.0,27.869942,267.7994600000001
110.0,27.97878,267.59995600000013
111.0,28.088919,267.40031600000015
112.0,27.961105,267.0006660000002
113.0,27.970114,266.80042600000013
114.0,28.0297,266.20095000000015
115.0,27.762266,265.40151000000014
116.0,27.720896,264.2019060000001
117.0,27.731062,262.8024620000001
118.0,27.770603,261.2093960000001
119.0,27.592318,259.2157100000001
120.0,27.40907,257.41610200000014
121.0,27.76548,255.83901000000014
122.0,27.601723,254.45036600000017
123.0,27.400507,252.30232000000018
124.0,28.087185,250.69570200000015
125.0,26.811092,248.72053600000018
126.0,27.573101,246.49969600000017
127.0,27.295494,244.08943400000015
128.0,27.22251,242.43145600000017
129.0,27.062677,240.63725400000015
130.0,26.961546,239.0148180000002
131.0,27.02061,237.4131900000002
132.0,26.992523,235.8226280000002
133.0,26.980536,234.0267240000002
134.0,26.836857,232.4213700000002
135.0,26.87,230.4402720000002
136.0,26.931915,228.84153000000015
137.0,27.084888,227.63092200000014
138.0,27.15404,226.48109800000015
139.0,27.36819,224.74015000000017
140.0,27.345778,223.56090600000016
141.0,27.833376,221.99218400000018
142.0,27.817354,220.2124020000002
143.0,27.732862,218.75711200000018
144.0,27.619518,217.8976160000002
145.0,27.5607,217.25426000000016
146.0,27.608738,217.02055600000017
147.0,27.695457,216.80177200000017
148.0,27.739935,216.6039040000002
149.0,27.749166,216.60073600000018
150.0,27.777176,216.60074200000022
151.0,27.887922,216.6009040000002
152.0,28.009369,216.7990040000002
153.0,27.927134,216.99710600000017
154.0,27.940754,217.00053800000015
155.0,27.77098,217.00226400000014
156.0,27.693176,217.0054260000001
157.0,27.817648,217.0083980000001
158.0,28.15911,217.00876200000016
159.0,27.99557,216.99953800000017
160.0,27.951212,216.8138820000002
161.0,28.275984,216.6267540000002
162.0,28.564838,216.4238600000002
163.0,28.530228,216.22357200000016
164.0,28.765394,216.21299600000015
165.0,28.525545,216.39672800000017
166.0,28.284521,216.58051400000016
167.0,27.737934,216.78001200000017
168.0,27.579958,216.9791220000002
169.0,27.268589,216.99807800000016
170.0,26.951384,216.99769000000015
171.0,26.925148,216.99740600000013
172.0,26.6683,216.99736000000013
173.0,26.111015,216.9978500000001
174.0,25.884722,216.9983400000001
175.0,25.8706,216.99979200000013
176.0,25.745955,216.99350000000013
177.0,25.203981,216.98611400000013
178.0,25.093039,216.97858000000014
179.0,24.47483,216.97766600000017
180.0,23.787897,216.9757900000002
181.0,23.081652,216.78352000000018
182.0,22.588432,216.5910920000002
183.0,22.231754,216.3986640000002
184.0,21.863077,216.39712800000015
185.0,21.622551,216.39801600000015
186.0,21.284477,216.59701400000012
187.0,21.014973,216.82856200000015
188.0,20.923937,217.2062600000001
189.0,21.476236,217.5400700000001
190.0,21.432384,218.55287400000012
191.0,22.219402,220.51651800000013
192.0,25.067757,222.44868000000014
193.0,27.334208,224.22364200000015
194.0,25.795366,225.73900600000016
195.0,23.926184,225.09290000000016
196.0,21.8506,223.1431300000001
197.0,16.990307,220.9838080000001
198.0,17.402357,218.8355360000001
199.0,17.215052,216.96453600000004
200.0,16.838371,216.59180200000006
201.0,16.654352,216.5758280000001
202.0,16.360933,216.7701360000001
203.0,16.291544,216.96587800000012
204.0,16.23154,216.9903220000001
205.0,16.575802,216.81085600000011
206.0,16.660742,216.61404200000007
207.0,16.714516,216.22872200000006
208.0,16.893911,215.84196800000004
209.0,16.856962,215.47051400000004
210.0,17.005453,215.4345
211.0,17.261282,215.41176800000002
212.0,18.12919,215.77914400000003
213.0,17.9522,216.14652000000007
214.0,17.734335,216.35164400000002
215.0,18.163443,216.40702400000004
216.0,18.224442,216.61111600000004
217.0,18.392366,216.64858000000004
218.0,18.95682,216.68604400000004
219.0,19.313875,216.68530400000003
220.0,19.237709,216.68456400000005
221.0,19.930134,216.68391400000002
222.0,19.703773,216.67526399999997
223.0,19.93034,216.69507799999997
224.0,20.116566,216.90004799999997
225.0,20.34141,217.069672
226.0,20.2467,217.08970400000004
227.0,19.981949,217.07808600000007
228.0,20.084328,217.03800400000006
229.0,19.739069,217.02481800000004
230.0,19.670376,217.04697800000002
231.0,20.138826,217.06147800000002
232.0,19.47774,216.890528
233.0,20.021067,216.719578
234.0,19.454988,216.657354
235.0,19.16122,216.59512999999998
236.0,20.084312,216.35455399999995
237.0,20.135675,216.303374
238.0,19.618967,216.29233
239.0,20.269865,216.31218599999997
240.0,20.2656,216.33507799999998
241.0,20.153288,216.54477199999997
242.0,20.476292,216.76300799999996
243.0,20.538769,216.94110799999993
244.0,20.295229,216.9572939999999
245.0,20.262012,216.9707659999999
